r_err	mag	sus	N	T	h	gamma	n	filetered error
271.1367827	8.00E-05	0.999999994	100	4.328	0	2.37	100	271.1367827
269.7023873	0.508925455	0.740994882	100	2.984	0	2.33	100	269.7023873
266.3732703	0.649170909	0.578577131	100	1.88	0	2.37	100	266.3732703
265.939787	0.551421818	0.695933978	100	2.36	0	2.055	100	265.939787
264.9204785	0.588216364	0.65400151	100	2.648	0	2.2	100	264.9204785
264.7125016	0.323870909	0.895107634	100	3.656	0	2.275	100	264.7125016
263.3276256	0.63964	0.59086067	100	1.208	0	2.425	100	263.3276256
260.4643573	0.682438182	0.534278128	100	1.016	0	2.125	100	260.4643573
252.5306552	0.671521818	0.549058448	100	1.256	0	2.445	100	252.5306552
252.1818959	0.473058182	0.776215957	100	3.08	0	2.185	100	252.1818959
251.7676765	0.005772727	0.999966676	100	4.328	0	2.035	100	251.7676765
251.3693951	0.566458182	0.679125128	100	2.216	0	2.09	100	251.3693951
251.0326512	0.029670909	0.999119637	100	4.328	0	2.14	100	251.0326512
250.1480798	0.510190909	0.739705236	100	2.408	0	2.195	100	250.1480798
248.9844488	0.66096	0.563131878	100	1.112	0	2.26	100	248.9844488
248.7334579	0.575161818	0.669188883	100	2.072	0	2.385	100	248.7334579
247.770469	0.754909091	0.430112264	100	1.4	0	2.08	100	247.770469
246.4001188	0.644994545	0.583982036	100	1.448	0	2.32	100	246.4001188
244.4881771	0.667812727	0.554026161	100	1.544	0	2.26	100	244.4881771
243.4179115	0.021441818	0.999540248	100	4.28	0	2.155	100	243.4179115
242.984855	0.762947273	0.417911459	100	1.352	0	2.355	100	242.984855
242.2850077	0.58424	0.658663622	100	2.168	0	2.14	100	242.2850077
241.9973768	0.549169091	0.69841331	100	1.736	0	2.36	100	241.9973768
241.6255399	0.531861818	0.717123006	100	2.216	0	2.185	100	241.6255399
241.0877976	0.041274545	0.998296412	100	3.896	0	2.435	100	241.0877976
238.134812	0.592563636	0.648868337	100	1.976	0	2.25	100	238.134812
237.6354029	0.81036	0.34331667	100	1.4	0	2.255	100	237.6354029
236.1850023	0.66876	0.552760062	100	1.304	0	2.25	100	236.1850023
235.5039313	0.686581818	0.528605407	100	1.688	0	2.325	100	235.5039313
233.583614	0.698472727	0.512135849	100	1.928	0	2.1	100	233.583614
233.5626892	0.211525455	0.955256982	100	2.744	0	2.46	100	233.5626892
231.7037302	0.39386	0.8448743	100	1.784	0	2.345	100	231.7037302
231.1504757	0.023649091	0.99944072	100	3.992	0	2.325	100	231.1504757
231.0055878	0.000910909	0.99999917	100	4.04	0	2.445	100	231.0055878
230.7953223	0.541654545	0.706610353	100	2.264	0	2.14	100	230.7953223
227.8175397	0.016587273	0.999724862	100	3.896	0	2.075	100	227.8175397
227.2935329	0.776078182	0.397702656	100	0.872	0	2.395	100	227.2935329
226.9672032	0.216905455	0.952952024	100	3.704	0	2.02	100	226.9672032
226.15464	0.026396364	0.999303232	100	4.424	0	2.09	100	226.15464
225.7093933	0.000998182	0.999999004	100	4.664	0	2.425	100	225.7093933
225.3687617	0.000276364	0.999999924	100	4.664	0	2.03	100	225.3687617
224.6757712	0.479018182	0.770541581	100	2.456	0	2.395	100	224.6757712
221.8909467	0.650034545	0.57745509	100	1.448	0	2.26	100	221.8909467
220.7149833	0.673856364	0.545917601	100	1.544	0	2.15	100	220.7149833
