r_err,mag,sus,N,T,h,gamma,n,no_h_err,model
0.145778131,0.205906836,0.000705138,2500,1.928,0,3.44,50,0.145216216,SF
1.476079217,0.798382909,0.000321013,2500,0.296,0,2.36,50,1.449042513,SF
2.679971527,0.452737236,8.94E-05,2500,3.656,0,2.12,50,2.626435658,SF
3.076453681,0.309739127,8.46E-05,2500,4.808,0,2.3,50,3.015000277,SF
1.574403882,0.470949745,0.001127275,2500,0.68,0,4.34,50,1.542957164,SF
0.25616655,0.055314036,0.000218541,2500,3.752,0,3.26,50,0.250975963,SF
0.321786404,0.022947709,6.18E-05,2500,4.712,0,3.38,50,0.31529093,SF
1.98210504,0.293496509,0.000139,2500,3.656,0,2.48,50,1.942595104,SF
0.241423652,0.022489309,0.000106354,2500,2.696,0,4.7,50,0.236498165,SF
0.300631756,0.299196291,0.001363089,2500,0.968,0,4.94,50,0.294965627,SF
2.679977925,0.297100655,0.000135135,2500,3.656,0,2.42,50,2.626476178,SF
0.180450844,0.0343832,0.000281742,2500,2.312,0,3.74,50,0.176760276,SF
1.762513606,0.441737309,0.000280184,2500,1.64,0,2.96,50,1.727352795,SF
0.226284111,0.0234336,0.000115987,2500,2.696,0,4.82,50,0.221678684,SF
1.807984035,0.409027636,0.000227331,2500,2.024,0,2.78,50,1.771916771,SF
2.419660567,0.467742691,0.000224607,2500,1.832,0,2.72,50,2.371334639,SF
0.230669367,0.026622982,0.000128062,2500,3.08,0,3.62,50,0.225995469,SF
0.977648843,0.387317455,0.00109677,2500,0.872,0,4.16,50,0.95818393,SF
2.079352067,0.708032582,0.000103076,2500,1.544,0,2,50,2.037770553,SF
0.847326345,0.818395782,0.000395027,2500,0.2,0,2.18,50,0.83037321,SF
0.265538741,0.102859491,0.000176457,2500,4.808,0,2.78,50,0.260158154,SF
0.419155463,0.018778327,4.24E-05,2500,4.808,0,5,50,0.41074489,SF
0.963497901,0.138886982,0.000242135,2500,3.464,0,2.96,50,0.944680961,SF
2.11775386,0.483368945,0.00027242,2500,1.544,0,2.9,50,2.075469103,SF
2.35768028,0.681088509,0.000126581,2500,1.448,0,2.24,50,2.310538222,SF
2.524184192,0.615836436,0.000154482,2500,1.544,0,2.42,50,2.473725976,SF
0.285352038,0.022653964,7.33E-05,2500,4.04,0,3.56,50,0.279601322,SF
2.22542961,0.351045745,7.92E-05,2500,4.616,0,2.18,50,2.18100496,SF
2.731994373,0.623722691,0.000777966,2500,0.488,0,3.32,50,2.677370092,SF
